UIDX,CRITICAL FLAG
te-33952,Not Applicable
te-33953,Not Critical
te-33954,Not Critical
te-33955,Not Critical
te-33956,Not Critical
te-33957,Critical
te-33958,Not Critical
te-33959,Not Applicable
te-33960,Not Critical
te-33961,Not Critical
te-33962,Not Critical
te-33963,Critical
te-33964,Critical
te-33965,Critical
te-33966,Not Critical
te-33967,Critical
te-33968,Not Critical
te-33969,Critical
te-33970,Critical
te-33971,Critical
te-33972,Critical
te-33973,Not Critical
te-33974,Critical
te-33975,Not Critical
te-33976,Critical
te-33977,Critical
te-33978,Not Critical
te-33979,Critical
te-33980,Critical
te-33981,Critical
te-33982,Critical
te-33983,Not Critical
te-33984,Critical
te-33985,Critical
te-33986,Critical
te-33987,Critical
te-33988,Critical
te-33989,Critical
te-33990,Critical
te-33991,Critical
te-33992,Not Critical
te-33993,Critical
te-33994,Not Applicable
te-33995,Not Critical
te-33996,Not Critical
te-33997,Critical
te-33998,Not Critical
te-33999,Not Critical
te-34000,Not Critical
te-34001,Critical
te-34002,Critical
te-34003,Critical
te-34004,Not Critical
te-34005,Critical
te-34006,Not Critical
te-34007,Critical
te-34008,Critical
te-34009,Critical
te-34010,Critical
te-34011,Critical
te-34012,Not Critical
te-34013,Not Critical
te-34014,Critical
te-34015,Critical
te-34016,Critical
te-34017,Critical
te-34018,Not Critical
te-34019,Not Critical
te-34020,Not Critical
te-34021,Critical
te-34022,Not Applicable
te-34023,Critical
te-34024,Not Critical
te-34025,Not Applicable
te-34026,Critical
te-34027,Critical
te-34028,Not Applicable
te-34029,Not Critical
te-34030,Critical
te-34031,Critical
te-34032,Not Critical
te-34033,Critical
te-34034,Critical
te-34035,Critical
te-34036,Critical
te-34037,Critical
te-34038,Not Critical
te-34039,Critical
te-34040,Not Critical
te-34041,Critical
te-34042,Not Critical
te-34043,Critical
te-34044,Critical
te-34045,Critical
te-34046,Not Critical
te-34047,Not Critical
te-34048,Not Critical
te-34049,Not Applicable
te-34050,Not Applicable
te-34051,Critical
te-34052,Critical
te-34053,Not Critical
te-34054,Critical
te-34055,Critical
te-34056,Not Critical
te-34057,Critical
te-34058,Not Critical
te-34059,Critical
te-34060,Critical
te-34061,Not Critical
te-34062,Not Critical
te-34063,Not Critical
te-34064,Critical
te-34065,Not Applicable
te-34066,Not Critical
te-34067,Not Critical
te-34068,Not Applicable
te-34069,Critical
te-34070,Critical
te-34071,Not Critical
te-34072,Critical
te-34073,Not Critical
te-34074,Critical
te-34075,Critical
te-34076,Not Critical
te-34077,Critical
te-34078,Not Critical
te-34079,Not Critical
te-34080,Critical
te-34081,Not Applicable
te-34082,Critical
te-34083,Critical
te-34084,Critical
te-34085,Critical
te-34086,Not Critical
te-34087,Critical
te-34088,Not Critical
te-34089,Critical
te-34090,Critical
te-34091,Critical
te-34092,Not Critical
te-34093,Critical
te-34094,Critical
te-34095,Not Critical
te-34096,Not Applicable
te-34097,Critical
te-34098,Critical
te-34099,Not Critical
te-34100,Critical
te-34101,Not Critical
te-34102,Critical
te-34103,Not Critical
te-34104,Not Critical
te-34105,Critical
te-34106,Not Critical
te-34107,Not Critical
te-34108,Critical
te-34109,Not Critical
te-34110,Not Critical
te-34111,Not Critical
te-34112,Not Critical
te-34113,Critical
te-34114,Critical
te-34115,Not Critical
te-34116,Not Critical
te-34117,Not Critical
te-34118,Not Critical
te-34119,Critical
te-34120,Critical
te-34121,Critical
te-34122,Critical
te-34123,Critical
te-34124,Critical
te-34125,Not Applicable
te-34126,Critical
te-34127,Critical
te-34128,Not Critical
te-34129,Not Critical
te-34130,Critical
te-34131,Critical
te-34132,Not Critical
te-34133,Not Critical
te-34134,Critical
te-34135,Critical
te-34136,Critical
te-34137,Critical
te-34138,Critical
te-34139,Critical
te-34140,Critical
te-34141,Critical
te-34142,Critical
te-34143,Not Critical
te-34144,Not Critical
te-34145,Critical
te-34146,Critical
te-34147,Not Critical
te-34148,Critical
te-34149,Critical
te-34150,Critical
te-34151,Critical
te-34152,Not Critical
te-34153,Not Applicable
te-34154,Not Critical
te-34155,Not Critical
te-34156,Critical
te-34157,Critical
te-34158,Not Critical
te-34159,Critical
te-34160,Not Critical
te-34161,Critical
te-34162,Not Critical
te-34163,Not Critical
te-34164,Not Applicable
te-34165,Not Critical
te-34166,Critical
te-34167,Not Critical
te-34168,Not Critical
te-34169,Not Critical
te-34170,Not Critical
te-34171,Critical
te-34172,Not Critical
te-34173,Critical
te-34174,Not Critical
te-34175,Not Applicable
te-34176,Critical
te-34177,Not Critical
te-34178,Critical
te-34179,Not Critical
te-34180,Critical
te-34181,Not Critical
te-34182,Not Critical
te-34183,Not Applicable
te-34184,Critical
te-34185,Critical
te-34186,Not Critical
te-34187,Not Critical
te-34188,Critical
te-34189,Critical
te-34190,Critical
te-34191,Critical
te-34192,Critical
te-34193,Critical
te-34194,Critical
te-34195,Not Critical
te-34196,Critical
te-34197,Critical
te-34198,Not Critical
te-34199,Not Critical
te-34200,Critical
te-34201,Critical
te-34202,Critical
te-34203,Not Critical
te-34204,Critical
te-34205,Critical
te-34206,Not Critical
te-34207,Critical
te-34208,Critical
te-34209,Not Critical
te-34210,Critical
te-34211,Critical
te-34212,Critical
te-34213,Not Applicable
te-34214,Not Critical
te-34215,Not Applicable
te-34216,Critical
te-34217,Not Critical
te-34218,Critical
te-34219,Critical
te-34220,Critical
te-34221,Critical
te-34222,Not Applicable
te-34223,Not Critical
te-34224,Critical
te-34225,Critical
te-34226,Critical
te-34227,Not Critical
te-34228,Critical
te-34229,Not Critical
te-34230,Critical
te-34231,Critical
te-34232,Critical
te-34233,Critical
te-34234,Critical
te-34235,Not Critical
te-34236,Critical
te-34237,Critical
te-34238,Not Critical
te-34239,Not Critical
te-34240,Critical
te-34241,Critical
te-34242,Critical
te-34243,Not Applicable
te-34244,Not Applicable
te-34245,Critical
te-34246,Critical
te-34247,Not Critical
te-34248,Critical
te-34249,Critical
te-34250,Critical
te-34251,Not Critical
te-34252,Critical
te-34253,Critical
te-34254,Not Critical
te-34255,Critical
te-34256,Not Critical
te-34257,Critical
te-34258,Not Critical
te-34259,Not Critical
te-34260,Critical
te-34261,Critical
te-34262,Not Critical
te-34263,Critical
te-34264,Critical
te-34265,Critical
te-34266,Not Critical
te-34267,Critical
te-34268,Not Critical
te-34269,Not Critical
te-34270,Critical
te-34271,Critical
te-34272,Critical
te-34273,Critical
te-34274,Critical
te-34275,Critical
te-34276,Critical
te-34277,Critical
te-34278,Critical
te-34279,Critical
te-34280,Not Critical
te-34281,Not Critical
te-34282,Critical
te-34283,Critical
te-34284,Critical
te-34285,Not Critical
te-34286,Critical
te-34287,Critical
te-34288,Not Critical
te-34289,Critical
te-34290,Not Critical
te-34291,Not Critical
te-34292,Critical
te-34293,Not Critical
te-34294,Not Applicable
te-34295,Critical
te-34296,Not Critical
te-34297,Critical
te-34298,Critical
te-34299,Not Critical
te-34300,Critical
te-34301,Critical
te-34302,Critical
te-34303,Not Critical
te-34304,Not Critical
te-34305,Critical
te-34306,Not Critical
te-34307,Critical
te-34308,Not Critical
te-34309,Critical
te-34310,Critical
te-34311,Critical
te-34312,Critical
te-34313,Critical
te-34314,Not Critical
te-34315,Not Critical
te-34316,Not Applicable
te-34317,Critical
te-34318,Not Applicable
te-34319,Not Critical
te-34320,Critical
te-34321,Critical
te-34322,Critical
te-34323,Not Critical
te-34324,Critical
te-34325,Critical
te-34326,Not Critical
te-34327,Not Critical
te-34328,Not Critical
te-34329,Critical
te-34330,Critical
te-34331,Critical
te-34332,Critical
te-34333,Not Critical
te-34334,Not Critical
te-34335,Not Critical
te-34336,Not Critical
te-34337,Not Critical
te-34338,Critical
te-34339,Not Critical
te-34340,Critical
te-34341,Critical
te-34342,Critical
te-34343,Critical
te-34344,Not Critical
te-34345,Critical
te-34346,Not Critical
te-34347,Not Critical
te-34348,Critical
te-34349,Not Critical
te-34350,Critical
te-34351,Not Critical
te-34352,Not Critical
te-34353,Critical
te-34354,Critical
te-34355,Not Applicable
te-34356,Critical
te-34357,Not Critical
te-34358,Not Critical
te-34359,Not Critical
te-34360,Critical
te-34361,Critical
te-34362,Not Critical
te-34363,Critical
te-34364,Not Critical
te-34365,Critical
te-34366,Not Critical
te-34367,Not Critical
te-34368,Not Critical
te-34369,Critical
te-34370,Not Critical
te-34371,Critical
te-34372,Critical
te-34373,Not Critical
te-34374,Critical
te-34375,Critical
te-34376,Critical
te-34377,Critical
te-34378,Not Critical
te-34379,Not Critical
te-34380,Not Critical
te-34381,Critical
te-34382,Critical
te-34383,Critical
te-34384,Critical
te-34385,Critical
te-34386,Not Critical
te-34387,Not Critical
te-34388,Critical
te-34389,Critical
te-34390,Critical
te-34391,Not Critical
te-34392,Critical
te-34393,Not Critical
te-34394,Critical
te-34395,Critical
te-34396,Critical
te-34397,Critical
te-34398,Critical
te-34399,Critical
te-34400,Not Applicable
te-34401,Not Critical
te-34402,Critical
te-34403,Critical
te-34404,Not Critical
te-34405,Critical
te-34406,Not Applicable
te-34407,Critical
te-34408,Critical
te-34409,Not Applicable
te-34410,Critical
te-34411,Not Critical
te-34412,Not Critical
te-34413,Critical
te-34414,Critical
te-34415,Critical
te-34416,Not Critical
te-34417,Not Critical
te-34418,Critical
te-34419,Critical
te-34420,Not Critical
te-34421,Not Critical
te-34422,Critical
te-34423,Critical
te-34424,Critical
te-34425,Not Critical
te-34426,Critical
te-34427,Critical
te-34428,Critical
te-34429,Not Critical
te-34430,Critical
te-34431,Critical
te-34432,Not Critical
te-34433,Not Critical
te-34434,Not Critical
te-34435,Critical
te-34436,Critical
te-34437,Critical
te-34438,Critical
te-34439,Critical
te-34440,Critical
te-34441,Critical
te-34442,Critical
te-34443,Not Critical
te-34444,Critical
te-34445,Critical
te-34446,Not Critical
te-34447,Critical
te-34448,Not Applicable
te-34449,Not Critical
te-34450,Not Critical
te-34451,Critical
te-34452,Not Critical
te-34453,Critical
te-34454,Critical
te-34455,Not Critical
te-34456,Critical
te-34457,Critical
te-34458,Critical
te-34459,Not Critical
te-34460,Critical
te-34461,Not Critical
te-34462,Not Critical
te-34463,Critical
te-34464,Critical
te-34465,Critical
te-34466,Critical
te-34467,Not Critical
te-34468,Critical
te-34469,Critical
te-34470,Not Critical
te-34471,Not Applicable
te-34472,Critical
te-34473,Critical
te-34474,Critical
te-34475,Not Applicable
te-34476,Critical
te-34477,Critical
te-34478,Critical
te-34479,Critical
te-34480,Critical
te-34481,Critical
te-34482,Not Critical
te-34483,Not Critical
te-34484,Critical
te-34485,Critical
te-34486,Critical
te-34487,Not Critical
te-34488,Not Critical
te-34489,Critical
te-34490,Not Critical
te-34491,Not Critical
te-34492,Not Critical
te-34493,Critical
te-34494,Critical
te-34495,Critical
te-34496,Critical
te-34497,Critical
te-34498,Critical
te-34499,Not Applicable
te-34500,Critical
te-34501,Critical
te-34502,Critical
te-34503,Critical
te-34504,Not Critical
te-34505,Not Critical
te-34506,Critical
te-34507,Critical
te-34508,Not Critical
te-34509,Critical
te-34510,Critical
te-34511,Not Critical
te-34512,Not Critical
te-34513,Critical
te-34514,Critical
te-34515,Critical
te-34516,Not Critical
te-34517,Critical
te-34518,Critical
te-34519,Not Critical
te-34520,Critical
te-34521,Critical
te-34522,Critical
te-34523,Critical
te-34524,Not Critical
te-34525,Critical
te-34526,Critical
te-34527,Not Critical
te-34528,Critical
te-34529,Critical
te-34530,Critical
te-34531,Critical
te-34532,Critical
te-34533,Critical
te-34534,Not Critical
te-34535,Not Critical
te-34536,Critical
te-34537,Critical
te-34538,Not Critical
te-34539,Critical
te-34540,Critical
te-34541,Critical
te-34542,Critical
te-34543,Not Critical
te-34544,Critical
te-34545,Critical
te-34546,Critical
te-34547,Not Critical
te-34548,Critical
te-34549,Critical
te-34550,Not Critical
te-34551,Not Critical
te-34552,Critical
te-34553,Not Critical
te-34554,Critical
te-34555,Critical
te-34556,Critical
te-34557,Not Critical
te-34558,Not Applicable
te-34559,Critical
te-34560,Not Critical
te-34561,Not Critical
te-34562,Critical
te-34563,Critical
te-34564,Critical
te-34565,Critical
te-34566,Not Critical
te-34567,Not Critical
te-34568,Not Critical
te-34569,Critical
te-34570,Critical
te-34571,Not Critical
te-34572,Not Critical
te-34573,Critical
te-34574,Critical
te-34575,Critical
te-34576,Critical
te-34577,Critical
te-34578,Critical
te-34579,Not Applicable
te-34580,Critical
te-34581,Not Critical
te-34582,Critical
te-34583,Not Critical
te-34584,Critical
te-34585,Critical
te-34586,Critical
te-34587,Critical
te-34588,Critical
te-34589,Critical
te-34590,Not Critical
te-34591,Critical
te-34592,Critical
te-34593,Not Critical
te-34594,Not Applicable
te-34595,Not Critical
te-34596,Not Critical
te-34597,Critical
te-34598,Not Critical
te-34599,Critical
te-34600,Critical
te-34601,Critical
te-34602,Not Critical
te-34603,Not Critical
te-34604,Not Critical
te-34605,Critical
te-34606,Critical
te-34607,Critical
te-34608,Critical
te-34609,Not Applicable
te-34610,Critical
te-34611,Critical
te-34612,Critical
te-34613,Not Critical
te-34614,Not Critical
te-34615,Critical
te-34616,Not Critical
te-34617,Critical
te-34618,Critical
te-34619,Not Critical
te-34620,Not Critical
te-34621,Critical
te-34622,Critical
te-34623,Not Critical
te-34624,Not Applicable
te-34625,Critical
te-34626,Critical
te-34627,Critical
te-34628,Critical
te-34629,Critical
te-34630,Critical
te-34631,Not Critical
te-34632,Critical
te-34633,Not Critical
te-34634,Critical
te-34635,Not Critical
te-34636,Not Critical
te-34637,Not Critical
te-34638,Not Critical
te-34639,Critical
te-34640,Not Applicable
te-34641,Critical
te-34642,Critical
te-34643,Critical
te-34644,Not Critical
te-34645,Critical
te-34646,Not Critical
te-34647,Critical
te-34648,Not Critical
te-34649,Not Critical
te-34650,Not Critical
te-34651,Not Applicable
te-34652,Not Critical
te-34653,Not Applicable
te-34654,Not Critical
te-34655,Not Critical
te-34656,Critical
te-34657,Critical
te-34658,Critical
te-34659,Not Critical
te-34660,Not Critical
te-34661,Not Critical
te-34662,Critical
te-34663,Critical
te-34664,Critical
te-34665,Critical
te-34666,Not Critical
te-34667,Critical
te-34668,Critical
te-34669,Not Critical
te-34670,Not Critical
te-34671,Not Critical
te-34672,Critical
te-34673,Not Critical
te-34674,Critical
te-34675,Critical
te-34676,Critical
te-34677,Not Critical
te-34678,Critical
te-34679,Not Critical
te-34680,Critical
te-34681,Critical
te-34682,Critical
te-34683,Critical
te-34684,Not Critical
te-34685,Critical
te-34686,Critical
te-34687,Critical
te-34688,Critical
te-34689,Not Critical
te-34690,Critical
te-34691,Critical
te-34692,Not Critical
te-34693,Critical
te-34694,Not Critical
te-34695,Critical
te-34696,Not Critical
te-34697,Critical
te-34698,Critical
te-34699,Not Critical
te-34700,Critical
te-34701,Critical
te-34702,Not Critical
te-34703,Not Critical
te-34704,Critical
te-34705,Critical
te-34706,Not Critical
te-34707,Critical
te-34708,Critical
te-34709,Critical
te-34710,Critical
te-34711,Critical
te-34712,Critical
te-34713,Not Critical
te-34714,Critical
te-34715,Not Critical
te-34716,Critical
te-34717,Not Critical
te-34718,Critical
te-34719,Not Critical
te-34720,Critical
te-34721,Not Critical
te-34722,Critical
te-34723,Critical
te-34724,Critical
te-34725,Not Applicable
te-34726,Critical
te-34727,Critical
te-34728,Critical
te-34729,Not Critical
te-34730,Critical
te-34731,Not Applicable
te-34732,Critical
te-34733,Not Critical
te-34734,Not Critical
te-34735,Not Critical
te-34736,Critical
te-34737,Critical
te-34738,Critical
te-34739,Not Applicable
te-34740,Not Applicable
te-34741,Critical
te-34742,Critical
te-34743,Critical
te-34744,Not Critical
te-34745,Critical
te-34746,Critical
te-34747,Critical
te-34748,Not Applicable
te-34749,Not Critical
te-34750,Not Critical
te-34751,Critical
te-34752,Not Critical
te-34753,Critical
te-34754,Critical
te-34755,Not Critical
te-34756,Critical
te-34757,Critical
te-34758,Not Critical
te-34759,Critical
te-34760,Not Applicable
te-34761,Critical
te-34762,Not Critical
te-34763,Critical
te-34764,Critical
te-34765,Critical
te-34766,Not Critical
te-34767,Critical
te-34768,Critical
te-34769,Critical
te-34770,Critical
te-34771,Not Critical
te-34772,Not Applicable
te-34773,Not Critical
te-34774,Critical
te-34775,Critical
te-34776,Not Critical
te-34777,Critical
te-34778,Not Critical
te-34779,Not Critical
te-34780,Critical
te-34781,Not Critical
te-34782,Critical
te-34783,Critical
te-34784,Not Critical
te-34785,Critical
te-34786,Critical
te-34787,Not Critical
te-34788,Critical
te-34789,Critical
te-34790,Critical
te-34791,Critical
te-34792,Not Critical
te-34793,Critical
te-34794,Critical
te-34795,Not Critical
te-34796,Critical
te-34797,Critical
te-34798,Not Critical
te-34799,Critical
te-34800,Critical
te-34801,Not Critical
te-34802,Not Critical
te-34803,Not Critical
te-34804,Not Critical
te-34805,Not Critical
te-34806,Critical
te-34807,Not Critical
te-34808,Not Critical
te-34809,Not Critical
te-34810,Critical
te-34811,Not Applicable
te-34812,Critical
te-34813,Critical
te-34814,Critical
te-34815,Not Critical
te-34816,Not Critical
te-34817,Critical
te-34818,Critical
te-34819,Not Applicable
te-34820,Not Critical
te-34821,Critical
te-34822,Not Critical
te-34823,Critical
te-34824,Not Critical
te-34825,Critical
te-34826,Critical
te-34827,Not Critical
te-34828,Not Critical
te-34829,Critical
te-34830,Critical
te-34831,Not Critical
te-34832,Not Critical
te-34833,Critical
te-34834,Critical
te-34835,Critical
te-34836,Critical
te-34837,Not Critical
te-34838,Critical
te-34839,Not Critical
te-34840,Not Critical
te-34841,Critical
te-34842,Critical
te-34843,Critical
te-34844,Critical
te-34845,Not Applicable
te-34846,Critical
te-34847,Not Critical
te-34848,Not Applicable
te-34849,Not Critical
te-34850,Critical
te-34851,Critical
te-34852,Critical
te-34853,Not Critical
te-34854,Not Critical
te-34855,Not Critical
te-34856,Critical
te-34857,Not Critical
te-34858,Not Critical
te-34859,Critical
te-34860,Critical
te-34861,Critical
te-34862,Not Critical
te-34863,Not Applicable
te-34864,Critical
te-34865,Not Applicable
te-34866,Not Critical
te-34867,Not Applicable
te-34868,Critical
te-34869,Not Applicable
te-34870,Not Critical
te-34871,Critical
te-34872,Critical
te-34873,Critical
te-34874,Critical
te-34875,Critical
te-34876,Critical
te-34877,Critical
te-34878,Critical
te-34879,Critical
te-34880,Not Critical
te-34881,Critical
te-34882,Not Critical
te-34883,Critical
te-34884,Critical
te-34885,Not Critical
te-34886,Not Critical
te-34887,Critical
te-34888,Not Critical
te-34889,Not Critical
te-34890,Critical
te-34891,Critical
te-34892,Not Critical
te-34893,Critical
te-34894,Not Critical
te-34895,Critical
te-34896,Critical
te-34897,Critical
te-34898,Not Critical
te-34899,Critical
te-34900,Not Critical
te-34901,Critical
te-34902,Critical
te-34903,Critical
te-34904,Not Critical
te-34905,Critical
te-34906,Critical
te-34907,Critical
te-34908,Not Applicable
te-34909,Not Critical
te-34910,Critical
te-34911,Critical
te-34912,Not Critical
te-34913,Not Critical
te-34914,Not Applicable
te-34915,Critical
te-34916,Not Critical
te-34917,Critical
te-34918,Not Critical
te-34919,Not Critical
te-34920,Not Critical
te-34921,Critical
te-34922,Not Critical
te-34923,Not Critical
te-34924,Critical
te-34925,Critical
te-34926,Not Applicable
te-34927,Critical
te-34928,Not Applicable
te-34929,Not Critical
te-34930,Not Critical
te-34931,Not Critical
te-34932,Critical
te-34933,Critical
te-34934,Not Critical
te-34935,Critical
te-34936,Not Critical
te-34937,Critical
te-34938,Not Critical
te-34939,Critical
te-34940,Not Critical
te-34941,Not Critical
te-34942,Not Critical
te-34943,Critical
te-34944,Critical
te-34945,Critical
te-34946,Critical
te-34947,Critical
te-34948,Critical
te-34949,Not Critical
te-34950,Critical
te-34951,Critical
te-34952,Critical
te-34953,Critical
te-34954,Not Critical
te-34955,Critical
te-34956,Critical
te-34957,Critical
te-34958,Critical
te-34959,Critical
te-34960,Not Critical
te-34961,Critical
te-34962,Not Critical
te-34963,Critical
te-34964,Critical
te-34965,Not Critical
te-34966,Critical
te-34967,Critical
te-34968,Critical
te-34969,Not Applicable
te-34970,Not Critical
te-34971,Critical
te-34972,Not Critical
te-34973,Critical
te-34974,Critical
te-34975,Not Critical
te-34976,Not Critical
te-34977,Critical
te-34978,Not Critical
te-34979,Not Critical
te-34980,Critical
te-34981,Critical
te-34982,Not Critical
te-34983,Critical
te-34984,Not Critical
te-34985,Not Critical
te-34986,Not Critical
te-34987,Critical
te-34988,Critical
te-34989,Critical
te-34990,Critical
te-34991,Critical
te-34992,Critical
te-34993,Not Applicable
te-34994,Critical
te-34995,Not Critical
te-34996,Not Critical
te-34997,Critical
te-34998,Not Critical
te-34999,Critical
te-35000,Critical
te-35001,Not Critical
te-35002,Not Critical
te-35003,Not Critical
te-35004,Not Critical
te-35005,Critical
te-35006,Not Critical
te-35007,Not Critical
te-35008,Critical
te-35009,Critical
te-35010,Critical
te-35011,Not Critical
te-35012,Not Critical
te-35013,Not Applicable
te-35014,Critical
te-35015,Critical
te-35016,Critical
te-35017,Critical
te-35018,Critical
te-35019,Critical
te-35020,Critical
te-35021,Critical
te-35022,Not Critical
te-35023,Critical
te-35024,Critical
te-35025,Critical
te-35026,Critical
te-35027,Not Critical
te-35028,Critical
te-35029,Critical
te-35030,Critical
te-35031,Critical
te-35032,Not Applicable
te-35033,Not Critical
te-35034,Critical
te-35035,Not Critical
te-35036,Not Critical
te-35037,Critical
te-35038,Critical
te-35039,Critical
te-35040,Critical
te-35041,Not Critical
te-35042,Critical
te-35043,Not Critical
te-35044,Critical
te-35045,Not Applicable
te-35046,Critical
te-35047,Critical
te-35048,Critical
te-35049,Not Applicable
te-35050,Critical
te-35051,Not Critical
te-35052,Critical
te-35053,Critical
te-35054,Not Critical
te-35055,Critical
te-35056,Not Critical
te-35057,Not Critical
te-35058,Not Applicable
te-35059,Not Critical
te-35060,Critical
te-35061,Not Critical
te-35062,Not Critical
te-35063,Critical
te-35064,Critical
te-35065,Critical
te-35066,Critical
te-35067,Critical
te-35068,Critical
te-35069,Not Critical
te-35070,Critical
te-35071,Critical
te-35072,Not Critical
te-35073,Not Critical
te-35074,Critical
te-35075,Critical
te-35076,Critical
te-35077,Critical
te-35078,Not Critical
te-35079,Not Critical
te-35080,Not Critical
te-35081,Not Critical
te-35082,Critical
te-35083,Critical
te-35084,Critical
te-35085,Critical
te-35086,Critical
te-35087,Critical
te-35088,Critical
te-35089,Critical
te-35090,Critical
te-35091,Not Applicable
te-35092,Critical
te-35093,Critical
te-35094,Not Applicable
te-35095,Not Critical
te-35096,Critical
te-35097,Not Critical
te-35098,Not Critical
te-35099,Not Critical
te-35100,Critical
te-35101,Critical
te-35102,Critical
te-35103,Critical
te-35104,Critical
te-35105,Critical
te-35106,Critical
te-35107,Critical
te-35108,Critical
te-35109,Critical
te-35110,Critical
te-35111,Not Critical
te-35112,Critical
te-35113,Critical
te-35114,Critical
te-35115,Not Applicable
te-35116,Not Critical
te-35117,Critical
te-35118,Not Critical
te-35119,Critical
te-35120,Critical
te-35121,Not Applicable
te-35122,Not Critical
te-35123,Not Critical
te-35124,Critical
te-35125,Critical
te-35126,Critical
te-35127,Critical
te-35128,Critical
te-35129,Not Applicable
te-35130,Critical
te-35131,Critical
te-35132,Not Critical
te-35133,Not Critical
te-35134,Critical
te-35135,Not Critical
te-35136,Critical
te-35137,Critical
te-35138,Critical
te-35139,Critical
te-35140,Not Critical
te-35141,Critical
te-35142,Critical
te-35143,Critical
te-35144,Not Critical
te-35145,Not Applicable
te-35146,Critical
te-35147,Critical
te-35148,Critical
te-35149,Critical
te-35150,Not Critical
te-35151,Not Applicable
te-35152,Not Critical
te-35153,Critical
te-35154,Not Critical
te-35155,Not Critical
te-35156,Critical
te-35157,Critical
te-35158,Not Applicable
te-35159,Critical
te-35160,Not Critical
te-35161,Critical
te-35162,Not Critical
te-35163,Critical
te-35164,Critical
te-35165,Not Applicable
te-35166,Not Critical
te-35167,Not Applicable
te-35168,Not Critical
te-35169,Critical
te-35170,Critical
te-35171,Critical
te-35172,Not Critical
te-35173,Not Critical
te-35174,Not Critical
te-35175,Critical
te-35176,Critical
te-35177,Not Critical
te-35178,Not Critical
te-35179,Critical
te-35180,Not Critical
te-35181,Critical
te-35182,Not Critical
te-35183,Critical
te-35184,Not Critical
te-35185,Not Critical
te-35186,Not Critical
te-35187,Critical
te-35188,Critical
te-35189,Not Critical
te-35190,Not Critical
te-35191,Critical
te-35192,Not Critical
te-35193,Not Applicable
te-35194,Not Applicable
te-35195,Critical
te-35196,Critical
te-35197,Critical
te-35198,Critical
te-35199,Not Critical
te-35200,Critical
te-35201,Critical
te-35202,Not Critical
te-35203,Critical
te-35204,Not Critical
te-35205,Critical
te-35206,Critical
te-35207,Not Critical
te-35208,Not Critical
te-35209,Critical
te-35210,Not Critical
te-35211,Critical
te-35212,Not Critical
te-35213,Not Critical
te-35214,Critical
te-35215,Critical
te-35216,Critical
te-35217,Not Critical
te-35218,Critical
te-35219,Not Critical
te-35220,Critical
te-35221,Critical
te-35222,Not Applicable
te-35223,Not Critical
te-35224,Not Critical
te-35225,Critical
te-35226,Not Critical
te-35227,Critical
te-35228,Not Applicable
te-35229,Not Critical
te-35230,Not Critical
te-35231,Critical
te-35232,Not Critical
te-35233,Critical
te-35234,Critical
te-35235,Not Critical
te-35236,Critical
te-35237,Not Critical
te-35238,Critical
te-35239,Critical
te-35240,Critical
te-35241,Critical
te-35242,Critical
te-35243,Critical
te-35244,Critical
te-35245,Not Critical
te-35246,Critical
te-35247,Not Critical
te-35248,Not Critical
te-35249,Not Critical
te-35250,Not Critical
te-35251,Critical
te-35252,Not Critical
te-35253,Critical
te-35254,Critical
te-35255,Critical
te-35256,Not Critical
te-35257,Not Critical
te-35258,Not Critical
te-35259,Not Critical
te-35260,Critical
te-35261,Not Critical
te-35262,Critical
te-35263,Not Critical
te-35264,Critical
te-35265,Critical
te-35266,Critical
te-35267,Critical
te-35268,Not Critical
te-35269,Critical
te-35270,Critical
te-35271,Not Applicable
te-35272,Critical
te-35273,Not Critical
te-35274,Not Critical
te-35275,Critical
te-35276,Critical
te-35277,Critical
te-35278,Critical
te-35279,Critical
te-35280,Not Critical
te-35281,Not Critical
te-35282,Not Critical
te-35283,Critical
te-35284,Not Critical
te-35285,Critical
te-35286,Critical
te-35287,Critical
te-35288,Critical
te-35289,Not Critical
te-35290,Not Critical
te-35291,Not Applicable
te-35292,Not Critical
te-35293,Not Critical
te-35294,Not Critical
te-35295,Critical
te-35296,Critical
te-35297,Critical
te-35298,Critical
te-35299,Critical
te-35300,Critical
te-35301,Critical
te-35302,Critical
te-35303,Critical
te-35304,Critical
te-35305,Critical
te-35306,Critical
te-35307,Not Critical
te-35308,Critical
te-35309,Critical
te-35310,Not Critical
te-35311,Critical
te-35312,Critical
te-35313,Critical
te-35314,Critical
te-35315,Not Critical
te-35316,Not Critical
te-35317,Critical
te-35318,Not Critical
te-35319,Critical
te-35320,Critical
te-35321,Not Critical
te-35322,Critical
te-35323,Critical
te-35324,Not Critical
te-35325,Not Critical
te-35326,Not Critical
te-35327,Not Critical
te-35328,Critical
te-35329,Critical
te-35330,Not Critical
te-35331,Not Critical
te-35332,Not Critical
te-35333,Not Critical
te-35334,Critical
te-35335,Not Applicable
te-35336,Not Applicable
te-35337,Critical
te-35338,Critical
te-35339,Critical
te-35340,Critical
te-35341,Not Critical
te-35342,Not Applicable
te-35343,Not Critical
te-35344,Not Applicable
te-35345,Not Critical
te-35346,Critical
te-35347,Critical
te-35348,Critical
te-35349,Critical
te-35350,Critical
te-35351,Critical
te-35352,Not Critical
te-35353,Critical
te-35354,Not Critical
te-35355,Critical
te-35356,Critical
te-35357,Critical
te-35358,Not Critical
te-35359,Critical
te-35360,Critical
te-35361,Critical
te-35362,Critical
te-35363,Not Critical
